MES;DIA_SEMANA;HORA;COD_PROVINCIA;COD_MUNICIPIO;ISLA;ZONA;ZONA_AGRUPADA;CARRETERA;KM;TIPO_VIA;TIPO_ACCIDENTE;NUDO;NUDO_INFO;CARRETERA_CRUCE;CONDICION_FIRME;CONDICION_ILUMINACION;CONDICION_METEO;CONDICION_NIEBLA;CONDICION_VIENTO;VISIB_RESTRINGIDA_POR;TRAZADO_PLANTA
1;3;22;1;0;;1;1;A-2622;33;6;18;2;;;1;6;1;;;1;1
1;6;23;1;1036;;1;1;A-625;369;5;16;2;;;3;6;4;;;1;3
1;7;1;1;0;;1;1;AP-1;82;2;12;2;;;3;6;3;;;1;1
1;7;8;1;0;;1;1;A-2522;32;6;13;2;;;3;1;3;;;1;3
1;4;17;1;0;;1;1;A-3600;19;14;15;2;;;3;1;2;;;1;1
1;5;18;1;1059;;1;1;A-3602;8;5;15;1;2;;3;6;1;;;1;2
1;6;9;1;0;;1;1;A-3608;12;6;15;2;;;1;1;1;;;1;1
1;1;6;1;1059;;1;1;A-1;345;3;18;2;;;3;6;2;;;1;1
1;5;10;1;0;;1;1;A-3138;32;6;19;2;;;3;1;1;;;1;1
1;1;7;1;1059;;1;1;A-1;345;3;4;2;;;3;2;2;;;1;1
1;6;16;1;1059;;1;1;A-1;352;3;4;1;2;;1;1;1;;;1;2
1;6;17;1;1059;;1;1;A-1;352;3;4;1;2;;1;2;1;;;1;2
1;5;23;1;1036;;1;1;A-625;371;5;12;2;;;1;6;1;;;1;1
1;6;10;1;1059;;1;1;A-3102;9;6;10;2;;;3;1;1;;;1;2
1;5;19;1;1002;;1;1;A-2522;32;6;19;2;;;1;6;1;;;1;3
1;5;15;1;1059;;1;1;A-2134;3;6;19;2;;;1;1;1;;;1;1
1;5;17;1;0;;3;2;No inventariada;0;14;19;1;2;;1;1;1;;;1;998
1;6;1;1;1059;;3;2;No inventariada;0;9;2;2;;;1;4;1;;;18;998
2;5;11;1;1059;;1;1;A-1;352;3;4;1;999;;3;1;2;;;1;2
10;2;2;1;1059;;3;2;No inventariada;0;9;10;2;;;9;1;7;;;18;998
8;7;5;1;1059;;3;2;No inventariada;0;9;7;2;;;9;1;7;;;18;998
1;2;10;1;0;;1;1;A-624;55;14;10;1;999;;3;1;1;;;1;1
